Site,Age,Thickness,Latm,Lonm
121,4910.0,38.83050653152659,-83.636175,-59.014835
121,4920.0,44.86380442261781,-83.636175,-59.014835
121,4930.0,50.635796757831386,-83.636175,-59.014835
121,4940.0,56.15364090285338,-83.636175,-59.014835
121,4950.0,61.42449422336994,-83.636175,-59.014835
121,4960.0,66.4555140850672,-83.636175,-59.014835
121,4970.0,71.25385785363127,-83.636175,-59.014835
121,4980.0,75.82668289474826,-83.636175,-59.014835
121,4990.0,80.18114657410429,-83.636175,-59.014835
121,5000.0,84.32440625738555,-83.636175,-59.014835
121,5010.0,88.26361931027807,-83.636175,-59.014835
121,5020.0,92.00594309846804,-83.636175,-59.014835
121,5030.0,95.55853498764151,-83.636175,-59.014835
121,5040.0,98.9285523434847,-83.636175,-59.014835
121,5050.0,102.12315253168362,-83.636175,-59.014835
121,5060.0,105.14949291792448,-83.636175,-59.014835
121,5070.0,108.01473086789335,-83.636175,-59.014835
121,5080.0,110.7260237472764,-83.636175,-59.014835
121,5090.0,113.29052892175972,-83.636175,-59.014835
121,5100.0,115.7154037570294,-83.636175,-59.014835
121,5110.0,118.00780561877164,-83.636175,-59.014835
121,5120.0,120.17489187267252,-83.636175,-59.014835
121,5130.0,122.22381988441816,-83.636175,-59.014835
121,5140.0,124.16174701969466,-83.636175,-59.014835
121,5150.0,125.99583064418816,-83.636175,-59.014835
121,5160.0,127.73322812358481,-83.636175,-59.014835
121,5170.0,129.38109682357072,-83.636175,-59.014835
121,5180.0,130.946594109832,-83.636175,-59.014835
121,5190.0,132.43687734805476,-83.636175,-59.014835
121,5200.0,133.85908943766833,-83.636175,-59.014835
121,5210.0,135.2186228610294,-83.636175,-59.014835
121,5220.0,136.51747053014674,-83.636175,-59.014835
121,5230.0,137.7572347680957,-83.636175,-59.014835
121,5240.0,138.93951789795153,-83.636175,-59.014835
121,5250.0,140.06592224278958,-83.636175,-59.014835
121,5260.0,141.1380501256851,-83.636175,-59.014835
121,5270.0,142.1575038697134,-83.636175,-59.014835
121,5280.0,143.12588579794968,-83.636175,-59.014835
121,5290.0,144.04479823346935,-83.636175,-59.014835
121,5300.0,144.91584349934757,-83.636175,-59.014835
121,5310.0,145.7406239186598,-83.636175,-59.014835
121,5320.0,146.5207418144811,-83.636175,-59.014835
121,5330.0,147.25779950988698,-83.636175,-59.014835
121,5340.0,147.95339932795258,-83.636175,-59.014835
121,5350.0,148.60914359175325,-83.636175,-59.014835
121,5360.0,149.22663462436432,-83.636175,-59.014835
121,5370.0,149.807474748861,-83.636175,-59.014835
121,5380.0,150.35326628831862,-83.636175,-59.014835
121,5390.0,150.86561156581243,-83.636175,-59.014835
121,5400.0,151.34611290441774,-83.636175,-59.014835
121,5410.0,151.79637262720985,-83.636175,-59.014835
121,5420.0,152.21799305726407,-83.636175,-59.014835
121,5430.0,152.61257651765558,-83.636175,-59.014835
121,5440.0,152.98172533145978,-83.636175,-59.014835
121,5450.0,153.32704182175192,-83.636175,-59.014835
121,5460.0,153.6501283116073,-83.636175,-59.014835
121,5470.0,153.95258712410117,-83.636175,-59.014835
121,5480.0,154.23602058230887,-83.636175,-59.014835
121,5490.0,154.5018574213659,-83.636175,-59.014835
121,5500.0,154.75083202464918,-83.636175,-59.014835
121,5510.0,154.98350518759574,-83.636175,-59.014835
121,5520.0,155.2004377056426,-83.636175,-59.014835
121,5530.0,155.402190374227,-83.636175,-59.014835
121,5540.0,155.58932398878585,-83.636175,-59.014835
121,5550.0,155.7623993447563,-83.636175,-59.014835
121,5560.0,155.9219772375755,-83.636175,-59.014835
121,5570.0,156.06861846268055,-83.636175,-59.014835
121,5580.0,156.20288381550841,-83.636175,-59.014835
121,5590.0,156.32533409149627,-83.636175,-59.014835
121,5600.0,156.43653008608123,-83.636175,-59.014835
121,5610.0,156.5370325947003,-83.636175,-59.014835
121,5620.0,156.62740241279064,-83.636175,-59.014835
121,5630.0,156.7082003357893,-83.636175,-59.014835
121,5640.0,156.77998715913333,-83.636175,-59.014835
121,5650.0,156.84332367825996,-83.636175,-59.014835
121,5660.0,156.8987706886061,-83.636175,-59.014835
121,5670.0,156.94688898560895,-83.636175,-59.014835
121,5680.0,156.98823936470558,-83.636175,-59.014835
121,5690.0,157.02338262133307,-83.636175,-59.014835
121,5700.0,157.05287955092848,-83.636175,-59.014835
121,5710.0,157.07729094892898,-83.636175,-59.014835
121,5720.0,157.09717761077155,-83.636175,-59.014835
121,5730.0,157.11310033189338,-83.636175,-59.014835
121,5740.0,157.12561990773145,-83.636175,-59.014835
121,5750.0,157.13529713372296,-83.636175,-59.014835
121,5760.0,157.14269280530496,-83.636175,-59.014835
121,5770.0,157.1483310852025,-83.636175,-59.014835
121,5780.0,157.15241729586953,-83.636175,-59.014835
121,5790.0,157.15499259093963,-83.636175,-59.014835
121,5800.0,157.1560967672792,-83.636175,-59.014835
121,5810.0,157.1557696217546,-83.636175,-59.014835
121,5820.0,157.15405095123225,-83.636175,-59.014835
121,5830.0,157.15098055257852,-83.636175,-59.014835
121,5840.0,157.14659822265995,-83.636175,-59.014835
121,5850.0,157.14094375834276,-83.636175,-59.014835
121,5860.0,157.13405695649348,-83.636175,-59.014835
121,5870.0,157.1259776139785,-83.636175,-59.014835
121,5880.0,157.11674552766414,-83.636175,-59.014835
121,5890.0,157.10640049441682,-83.636175,-59.014835
121,5900.0,157.09498231110302,-83.636175,-59.014835
121,5910.0,157.08253077458917,-83.636175,-59.014835
121,5920.0,157.06908568174157,-83.636175,-59.014835
121,5930.0,157.05468682942663,-83.636175,-59.014835
121,5940.0,157.0393740145108,-83.636175,-59.014835
121,5950.0,157.0231870338604,-83.636175,-59.014835
121,5960.0,157.006165684342,-83.636175,-59.014835
121,5970.0,156.98834976282185,-83.636175,-59.014835
121,5980.0,156.9697790661664,-83.636175,-59.014835
121,5990.0,156.9504933912421,-83.636175,-59.014835
121,6000.0,156.9305325349153,-83.636175,-59.014835
121,6010.0,156.90993629405244,-83.636175,-59.014835
121,6020.0,156.88874446551984,-83.636175,-59.014835
121,6030.0,156.866996846184,-83.636175,-59.014835
121,6040.0,156.84473323291127,-83.636175,-59.014835
121,6050.0,156.82199440367054,-83.636175,-59.014835
121,6060.0,156.79884370178732,-83.636175,-59.014835
121,6070.0,156.77536703594362,-83.636175,-59.014835
121,6080.0,156.75165129592386,-83.636175,-59.014835
121,6090.0,156.7277833715128,-83.636175,-59.014835
121,6100.0,156.70385015249494,-83.636175,-59.014835
121,6110.0,156.67993852865467,-83.636175,-59.014835
121,6120.0,156.65613538977664,-83.636175,-59.014835
121,6130.0,156.6325276256454,-83.636175,-59.014835
121,6140.0,156.60920212604543,-83.636175,-59.014835
121,6150.0,156.58624578076126,-83.636175,-59.014835
121,6160.0,156.56374547957745,-83.636175,-59.014835
121,6170.0,156.54178811227857,-83.636175,-59.014835
121,6180.0,156.52046056864904,-83.636175,-59.014835
121,6190.0,156.49984973847356,-83.636175,-59.014835
121,6200.0,156.48004251153657,-83.636175,-59.014835
121,6210.0,156.4611257776226,-83.636175,-59.014835
121,6220.0,156.44318642651615,-83.636175,-59.014835
121,6230.0,156.42631134800186,-83.636175,-59.014835
121,6240.0,156.41058743186426,-83.636175,-59.014835
121,6250.0,156.39610156788783,-83.636175,-59.014835
121,6260.0,156.38294064585705,-83.636175,-59.014835
121,6270.0,156.37119155555655,-83.636175,-59.014835
121,6280.0,156.36094118677087,-83.636175,-59.014835
121,6290.0,156.3522764292845,-83.636175,-59.014835
121,6300.0,156.34528417288197,-83.636175,-59.014835
121,6310.0,156.34005130734786,-83.636175,-59.014835
121,6320.0,156.3366647224667,-83.636175,-59.014835
121,6330.0,156.33521155442796,-83.636175,-59.014835
121,6340.0,156.33580875442354,-83.636175,-59.014835
121,6350.0,156.33863117881546,-83.636175,-59.014835
121,6360.0,156.34386033689987,-83.636175,-59.014835
121,6370.0,156.3516777379731,-83.636175,-59.014835
121,6380.0,156.36226489133136,-83.636175,-59.014835
121,6390.0,156.37580330627108,-83.636175,-59.014835
121,6400.0,156.39247449208855,-83.636175,-59.014835
121,6410.0,156.41245995807992,-83.636175,-59.014835
121,6420.0,156.43594121354158,-83.636175,-59.014835
121,6430.0,156.46309976776985,-83.636175,-59.014835
121,6440.0,156.49411713006097,-83.636175,-59.014835
121,6450.0,156.52917480971124,-83.636175,-59.014835
121,6460.0,156.56845431601695,-83.636175,-59.014835
121,6470.0,156.61213715827435,-83.636175,-59.014835
121,6480.0,156.66040484577988,-83.636175,-59.014835
121,6490.0,156.71343888782965,-83.636175,-59.014835
121,6500.0,156.77142079372007,-83.636175,-59.014835
121,6510.0,156.83453207274735,-83.636175,-59.014835
121,6520.0,156.90295423420787,-83.636175,-59.014835
121,6530.0,156.97686878739785,-83.636175,-59.014835
121,6540.0,157.0564572416136,-83.636175,-59.014835
121,6550.0,157.14190110615147,-83.636175,-59.014835
121,6560.0,157.23338189030764,-83.636175,-59.014835
121,6570.0,157.3310811033785,-83.636175,-59.014835
121,6580.0,157.4351802546603,-83.636175,-59.014835
121,6590.0,157.5458608534493,-83.636175,-59.014835
121,6600.0,157.66330440904187,-83.636175,-59.014835
121,6610.0,157.7876924307343,-83.636175,-59.014835
122,5010.0,1.219782072057866,-83.74600000000001,-58.99211
122,5020.0,3.659346216173598,-83.74600000000001,-58.99211
122,5030.0,6.098910360289328,-83.74600000000001,-58.99211
122,5040.0,8.538474504405059,-83.74600000000001,-58.99211
122,5050.0,10.978038648520792,-83.74600000000001,-58.99211
122,5060.0,13.417602792636528,-83.74600000000001,-58.99211
122,5070.0,15.857166936752263,-83.74600000000001,-58.99211
122,5080.0,18.29673108086799,-83.74600000000001,-58.99211
122,5090.0,20.736295224983728,-83.74600000000001,-58.99211
122,5100.0,23.175859369099445,-83.74600000000001,-58.99211
122,5110.0,25.615423513215188,-83.74600000000001,-58.99211
122,5120.0,28.054987657330916,-83.74600000000001,-58.99211
122,5130.0,30.494551801446658,-83.74600000000001,-58.99211
122,5140.0,32.93411594556238,-83.74600000000001,-58.99211
122,5150.0,35.37368008967813,-83.74600000000001,-58.99211
122,5160.0,37.81324423379384,-83.74600000000001,-58.99211
122,5170.0,40.252808377909574,-83.74600000000001,-58.99211
122,5180.0,42.6923725220253,-83.74600000000001,-58.99211
122,5190.0,45.131936666141044,-83.74600000000001,-58.99211
122,5200.0,47.57150081025679,-83.74600000000001,-58.99211
122,5210.0,50.01106495437251,-83.74600000000001,-58.99211
122,5220.0,52.450629098488236,-83.74600000000001,-58.99211
122,5230.0,54.890193242603985,-83.74600000000001,-58.99211
122,5240.0,57.32975738671973,-83.74600000000001,-58.99211
122,5250.0,59.769321530835434,-83.74600000000001,-58.99211
122,5260.0,62.208885674951155,-83.74600000000001,-58.99211
122,5270.0,64.64844981906688,-83.74600000000001,-58.99211
122,5280.0,67.08801396318265,-83.74600000000001,-58.99211
122,5290.0,69.52757810729837,-83.74600000000001,-58.99211
122,5300.0,71.9671422514141,-83.74600000000001,-58.99211
122,5310.0,74.40670639552982,-83.74600000000001,-58.99211
122,5320.0,76.84627053964554,-83.74600000000001,-58.99211
122,5330.0,79.28583468376131,-83.74600000000001,-58.99211
122,5340.0,81.72539882787706,-83.74600000000001,-58.99211
122,5350.0,84.16496297199275,-83.74600000000001,-58.99211
122,5360.0,86.60452711610849,-83.74600000000001,-58.99211
122,5370.0,89.04409126022423,-83.74600000000001,-58.99211
122,5380.0,91.48365540433996,-83.74600000000001,-58.99211
122,5390.0,93.92321954845572,-83.74600000000001,-58.99211
122,5400.0,96.36278369257141,-83.74600000000001,-58.99211
122,5410.0,98.80234783668718,-83.74600000000001,-58.99211
122,5420.0,101.24191198080287,-83.74600000000001,-58.99211
122,5430.0,103.68147612491862,-83.74600000000001,-58.99211
122,5440.0,106.1210402690344,-83.74600000000001,-58.99211
122,5450.0,108.56060441315006,-83.74600000000001,-58.99211
122,5460.0,111.00016855726585,-83.74600000000001,-58.99211
122,5470.0,113.4397327013815,-83.74600000000001,-58.99211
122,5480.0,115.87929684549728,-83.74600000000001,-58.99211
122,5490.0,118.31886098961303,-83.74600000000001,-58.99211
122,5500.0,119.53864306167088,-83.74600000000001,-58.99211
122,5510.0,123.18896247066161,-83.74600000000001,-58.99211
122,5520.0,126.76331745821311,-83.74600000000001,-58.99211
122,5530.0,130.26298294411893,-83.74600000000001,-58.99211
122,5540.0,133.68923384817265,-83.74600000000001,-58.99211
122,5550.0,137.04334509016772,-83.74600000000001,-58.99211
122,5560.0,140.32659158989776,-83.74600000000001,-58.99211
122,5570.0,143.5402482671563,-83.74600000000001,-58.99211
122,5580.0,146.6855900417368,-83.74600000000001,-58.99211
122,5590.0,149.76389183343292,-83.74600000000001,-58.99211
122,5600.0,152.77642856203815,-83.74600000000001,-58.99211
122,5610.0,155.72447514734603,-83.74600000000001,-58.99211
122,5620.0,158.60930650915014,-83.74600000000001,-58.99211
122,5630.0,161.43219756724395,-83.74600000000001,-58.99211
122,5640.0,164.19442324142105,-83.74600000000001,-58.99211
122,5650.0,166.897258451475,-83.74600000000001,-58.99211
122,5660.0,169.54197811719928,-83.74600000000001,-58.99211
122,5670.0,172.1298571583875,-83.74600000000001,-58.99211
122,5680.0,174.66217049483316,-83.74600000000001,-58.99211
122,5690.0,177.14019304632984,-83.74600000000001,-58.99211
122,5700.0,179.565199732671,-83.74600000000001,-58.99211
122,5710.0,181.93846547365027,-83.74600000000001,-58.99211
122,5720.0,184.26126518906113,-83.74600000000001,-58.99211
122,5730.0,186.5348737986972,-83.74600000000001,-58.99211
122,5740.0,188.7605662223519,-83.74600000000001,-58.99211
122,5750.0,190.9396173798189,-83.74600000000001,-58.99211
122,5760.0,193.07330219089172,-83.74600000000001,-58.99211
122,5770.0,195.16289557536385,-83.74600000000001,-58.99211
122,5780.0,197.20967245302884,-83.74600000000001,-58.99211
122,5790.0,199.21490774368024,-83.74600000000001,-58.99211
122,5800.0,201.17987636711163,-83.74600000000001,-58.99211
122,5810.0,203.10585324311646,-83.74600000000001,-58.99211
122,5820.0,204.9941132914884,-83.74600000000001,-58.99211
122,5830.0,206.84593143202085,-83.74600000000001,-58.99211
122,5840.0,208.6625825845075,-83.74600000000001,-58.99211
122,5850.0,210.44534166874178,-83.74600000000001,-58.99211
122,5860.0,212.1954836045173,-83.74600000000001,-58.99211
122,5870.0,213.91428331162749,-83.74600000000001,-58.99211
122,5880.0,215.60301570986607,-83.74600000000001,-58.99211
122,5890.0,217.2629557190265,-83.74600000000001,-58.99211
122,5900.0,218.89537825890218,-83.74600000000001,-58.99211
122,5910.0,220.5015582492869,-83.74600000000001,-58.99211
122,5920.0,222.08277060997403,-83.74600000000001,-58.99211
122,5930.0,223.64029026075718,-83.74600000000001,-58.99211
122,5940.0,225.17539212142984,-83.74600000000001,-58.99211
122,5950.0,226.6893511117857,-83.74600000000001,-58.99211
122,5960.0,228.18344215161807,-83.74600000000001,-58.99211
122,5970.0,229.65894003694885,-83.74600000000001,-58.99211
122,5980.0,231.11684813209575,-83.74600000000001,-58.99211
122,5990.0,232.55732283049235,-83.74600000000001,-58.99211
122,6000.0,233.98035578521763,-83.74600000000001,-58.99211
122,6010.0,235.38593864935044,-83.74600000000001,-58.99211
122,6020.0,236.77406307596976,-83.74600000000001,-58.99211
122,6030.0,238.14472071815433,-83.74600000000001,-58.99211
122,6040.0,239.49790322898323,-83.74600000000001,-58.99211
122,6050.0,240.8336022615353,-83.74600000000001,-58.99211
122,6060.0,242.1518094688894,-83.74600000000001,-58.99211
122,6070.0,243.4525165041245,-83.74600000000001,-58.99211
122,6080.0,244.7357150203195,-83.74600000000001,-58.99211
