Site,Age,Thickness,Latm,Lonm
121,20000.0,480.0,-83.636175,-59.014835
121,19990.0,479.76066770451524,-83.636175,-59.014835
121,19980.0,479.521335409038,-83.636175,-59.014835
121,19970.0,479.2820031135796,-83.636175,-59.014835
121,19960.0,479.04267081810093,-83.636175,-59.014835
121,19950.0,478.8033385226161,-83.636175,-59.014835
121,19940.0,478.56400622713886,-83.636175,-59.014835
121,19930.0,478.3246739316542,-83.636175,-59.014835
121,19920.0,478.0853416361957,-83.636175,-59.014835
121,19910.0,477.8460093407185,-83.636175,-59.014835
121,19900.0,477.60667704523377,-83.636175,-59.014835
121,19890.0,477.3673447497551,-83.636175,-59.014835
121,19880.0,477.12801245429614,-83.636175,-59.014835
121,19870.0,476.8886801588193,-83.636175,-59.014835
121,19860.0,476.64934786333464,-83.636175,-59.014835
121,19850.0,476.41001556784994,-83.636175,-59.014835
121,19840.0,476.17068327237274,-83.636175,-59.014835
121,19830.0,475.93135097691425,-83.636175,-59.014835
121,19820.0,475.69201868143557,-83.636175,-59.014835
121,19810.0,475.45268638595036,-83.636175,-59.014835
121,19800.0,475.2133540904736,-83.636175,-59.014835
121,19790.0,474.97402179498897,-83.636175,-59.014835
121,19780.0,474.7346894995303,-83.636175,-59.014835
121,19770.0,474.4953572040532,-83.636175,-59.014835
121,19760.0,474.2560249085665,-83.636175,-59.014835
121,19750.0,474.0166926130898,-83.636175,-59.014835
121,19740.0,473.77736031763067,-83.636175,-59.014835
121,19730.0,473.5380280221539,-83.636175,-59.014835
121,19720.0,473.29869572666934,-83.636175,-59.014835
121,19710.0,473.05936343118464,-83.636175,-59.014835
121,19700.0,472.82003113570744,-83.636175,-59.014835
121,19690.0,472.5806988402468,-83.636175,-59.014835
121,19680.0,472.3413665447701,-83.636175,-59.014835
121,19670.0,472.102034249285,-83.636175,-59.014835
121,19660.0,471.86270195380837,-83.636175,-59.014835
121,19650.0,471.6233696583238,-83.636175,-59.014835
121,19640.0,471.3840373628644,-83.636175,-59.014835
121,19630.0,471.14470506738775,-83.636175,-59.014835
121,19620.0,470.90537277190117,-83.636175,-59.014835
121,19610.0,470.6660404764245,-83.636175,-59.014835
121,19600.0,470.4267081809652,-83.636175,-59.014835
121,19590.0,470.18737588548856,-83.636175,-59.014835
121,19580.0,469.94804359000386,-83.636175,-59.014835
121,19570.0,469.7087112945188,-83.636175,-59.014835
121,19560.0,469.46937899904225,-83.636175,-59.014835
121,19550.0,469.2300467035813,-83.636175,-59.014835
121,19540.0,468.99071440810474,-83.636175,-59.014835
121,19530.0,468.7513821126197,-83.636175,-59.014835
121,19520.0,468.512049817135,-83.636175,-59.014835
121,19510.0,468.2727175216584,-83.636175,-59.014835
121,19500.0,468.03338522619896,-83.636175,-59.014835
121,19490.0,467.7940529307224,-83.636175,-59.014835
121,19480.0,467.5547206352358,-83.636175,-59.014835
121,19470.0,467.31538833975924,-83.636175,-59.014835
121,19460.0,467.07605604429966,-83.636175,-59.014835
121,19450.0,466.8367237488151,-83.636175,-59.014835
121,19440.0,466.59739145333856,-83.636175,-59.014835
121,19430.0,466.3580591578535,-83.636175,-59.014835
121,19420.0,466.118726862377,-83.636175,-59.014835
121,19410.0,465.8793945669159,-83.636175,-59.014835
121,19400.0,465.64006227143886,-83.636175,-59.014835
121,19390.0,465.4007299759543,-83.636175,-59.014835
